cle,valeur
version_application,V5.2
date_generation_utc,2026-08-01T13:38:23Z
actualisation_automatique,Hebdomadaire
mode_actualisation,Remplacement des fichiers du dépôt
dernier_signal_publication,2026-06-29
dernier_balayage_territorial,2026-07-13
nombre_prospects,43
nombre_projets_avant_ouverture,14
nombre_territoires,3
nombre_communes_suivies,52
nombre_gammes_analysees,14
dernier_passage_automatique_utc,Pas encore exécuté
nombre_signaux_a_qualifier,0
nouveaux_signaux_dernier_passage,0
erreurs_dernier_passage,0
